,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,10,"2,271"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,11,"2,166"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,12,"1,933"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,1,"1,089"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,2,"1,088"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,3,"1,548"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,4,"2,116"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,5,"2,033"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,6,"1,866"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,7,"2,527"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,8,"2,019"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,9,"1,862"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,10,"1,877"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,11,"1,281"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2018,12,911
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,1,911
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,2,921
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,3,"1,392"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,4,"1,906"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,5,"1,948"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,6,"2,171"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,7,"2,788"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,8,"2,176"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,9,"2,016"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,10,"1,945"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,11,"1,428"
,Allegheny Portage Railroad NHS,Traffic Count at Main Entrance,2019,12,987
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,1,"1,737"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,2,"1,402"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,3,"2,070"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,4,"2,396"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,5,"2,160"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,6,"2,317"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,7,"2,618"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,8,"2,138"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,9,"2,011"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,10,"2,160"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,11,"1,517"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2018,12,"1,486"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,1,"1,486"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,2,"1,037"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,3,"1,735"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,4,"2,140"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,5,"2,009"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,6,"2,379"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,7,"2,713"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,8,"2,345"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,9,"2,173"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,10,"2,203"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,11,"1,619"
,Allegheny Portage Railroad NHS,Traffic Count at Picnic Area,2019,12,"1,571"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,1,764
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,2,926
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,3,838
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,4,"1,198"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,5,"1,279"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,6,"1,748"
